,N_cities,benchmark_device,num_sweeps,trotter_size,sample_no,objective_mean,objective_std,objective_min,objective_max,sampling_time
0,40,SA,1000,10,0,193.93659211123833,12.106800053608252,158.37575038833947,220.8049602005668,0.06331354
1,40,SA,1000,20,0,193.93659211123833,12.106800053608252,158.37575038833947,220.8049602005668,0.06331354
2,40,SA,1000,30,0,193.93659211123833,12.106800053608252,158.37575038833947,220.8049602005668,0.06331354
3,40,SA,1000,40,0,193.93659211123833,12.106800053608252,158.37575038833947,220.8049602005668,0.06331354
4,40,SA,1000,60,0,193.93659211123833,12.106800053608252,158.37575038833947,220.8049602005668,0.06331354
5,40,SA,2000,10,0,191.71546822526514,13.849101584222739,148.54517898323738,223.14955002204323,0.11857898
6,40,SA,2000,20,0,191.71546822526514,13.849101584222739,148.54517898323738,223.14955002204323,0.11857898
7,40,SA,2000,30,0,191.71546822526514,13.849101584222739,148.54517898323738,223.14955002204323,0.11857898
8,40,SA,2000,40,0,191.71546822526514,13.849101584222739,148.54517898323738,223.14955002204323,0.11857898
9,40,SA,2000,60,0,191.71546822526514,13.849101584222739,148.54517898323738,223.14955002204323,0.11857898
10,40,SA,4000,10,0,193.87748256830193,15.499221175795551,155.50651909581646,236.52110903076314,0.2293985
11,40,SA,4000,20,0,193.87748256830193,15.499221175795551,155.50651909581646,236.52110903076314,0.2293985
12,40,SA,4000,30,0,193.87748256830193,15.499221175795551,155.50651909581646,236.52110903076314,0.2293985
13,40,SA,4000,40,0,193.87748256830193,15.499221175795551,155.50651909581646,236.52110903076314,0.2293985
14,40,SA,4000,60,0,193.87748256830193,15.499221175795551,155.50651909581646,236.52110903076314,0.2293985
15,40,SA,6000,10,0,192.46713491574218,14.036501071023675,157.70605702037375,228.42722862207074,0.33718625
16,40,SA,6000,20,0,192.46713491574218,14.036501071023675,157.70605702037375,228.42722862207074,0.33718625
17,40,SA,6000,30,0,192.46713491574218,14.036501071023675,157.70605702037375,228.42722862207074,0.33718625
18,40,SA,6000,40,0,192.46713491574218,14.036501071023675,157.70605702037375,228.42722862207074,0.33718625
19,40,SA,6000,60,0,192.46713491574218,14.036501071023675,157.70605702037375,228.42722862207074,0.33718625
20,40,SA,10000,10,0,190.85029363459995,13.27237255535565,164.33787792896285,223.38043177246087,0.56025207
21,40,SA,10000,20,0,190.85029363459995,13.27237255535565,164.33787792896285,223.38043177246087,0.56025207
22,40,SA,10000,30,0,190.85029363459995,13.27237255535565,164.33787792896285,223.38043177246087,0.56025207
23,40,SA,10000,40,0,190.85029363459995,13.27237255535565,164.33787792896285,223.38043177246087,0.56025207
24,40,SA,10000,60,0,190.85029363459995,13.27237255535565,164.33787792896285,223.38043177246087,0.56025207
25,40,G2,100,10,0,184.17606827956175,12.940539520413052,153.0558181725489,211.7619934025464,0.11733115
26,40,G2,100,20,0,182.2647377107919,14.231983751514138,151.7300234600194,216.64866501955828,0.17726109
27,40,G2,100,30,0,180.4157361465673,14.170625679973009,148.92434028317604,221.29192130091798,0.24169563
28,40,G2,100,40,0,176.28900872458863,13.135054404491296,147.91946256709767,212.39446739692752,0.30627999
29,40,G2,100,60,0,174.58630903414945,10.974195251289775,148.20123994799826,203.63740926277646,0.43948456999999996
30,40,G2,200,10,0,177.16175236479188,13.423754513564795,146.40178547698122,211.987139299815,0.16440843000000002
31,40,G2,200,20,0,168.4955435009015,10.79537761074647,145.39224505341514,193.1800656519988,0.22383857
32,40,G2,200,30,0,167.44916716301958,9.698245687791566,134.11444766581482,193.78325315162704,0.29095339
33,40,G2,200,40,0,162.32792693940482,8.698829534331908,139.38460218949257,185.34691419610908,0.35868422
34,40,G2,200,60,0,160.22673097491628,8.923299077799557,133.83034203149003,180.30205033919813,0.5017159800000001
35,40,G2,400,10,0,170.61714851045687,9.842396340728904,138.8157569564373,191.99753834961956,0.25991146
36,40,G2,400,20,0,165.77452534713325,10.0239796444158,132.54939915434164,186.94829363792948,0.31486016
